Company Name,Website,Phone,Address,Emails Found,Status
Technical Systems (Pty) Ltd,https://www.technicalsys.com/,+27 21 949 9191,"3 Ampere St, Stikland Industrial, Cape Town, 7530, South Africa","chrisd@technicalsys.com,info@technicalsys.com,mary-anne@technicalsys.com,paul@technicalsys.com","error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93bedb5c5ffsm128283885a.40 - gsmtp')"
Controltech Cape (Pty) Ltd,http://www.controltech-cape.com/,+27 21 204 7205,"Unit C7, Firgrove Business Park, 3 Quantum Rd, Somerset West, 7130, South Africa",info@control-group.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260aa20e4sm14579206d6.40 - gsmtp')"
Pneumatic Electric Control Systems,http://www.pecspower.co.za/,+27 21 932 5202,"42 Stellenberg Rd, Parow Industrial, Cape Town, 8001, South Africa","pecs@mweb.co.za,pecsctn@mweb.co.za,pecspe@mweb.co.za,sales@pecspower.co.za","error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93bedad2bc4sm129317685a.26 - gsmtp')"
IDS Commercial Access Control,https://solutions.i-d-s.co.za/,+27 21 001 5518,,info@i-d-s.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials d75a77b69052e-532ae615353sm14319521cf.14 - gsmtp')"
Atlantic Control Systems CC,http://www.atlanticcontrols.co.za/,+27 21 551 9998,"Prime Park, Unit 19 East End, Printers Way, Montague Gardens, Cape Town, 7441, South Africa",sales@atlanticcontrols.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260aa20e4sm14579466d6.40 - gsmtp')"
Nist Control Systems PTY(LTD),http://nistcontrol.com/,+27 12 111 1710,"Cnr of Wallmansthal Road (D327) & Bosbok Street, 199 Waterval, Pyramid, 0120, South Africa",nist@nistcontrol.com,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260a30c93sm14551126d6.10 - gsmtp')"
Industrial Radio Remote Controls SA,,+27 82 684 2282,"206 Eagle St, Montana Park, Pretoria, 0182, South Africa",,
Control Systems Technology,http://www.consystec.co.za/,+27 12 653 0732,"Unit 7 Edison Park, 183 Edison Cres, Hennopspark, Centurion, 0157, South Africa",enquiries@consystec.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260a311d9sm14653856d6.14 - gsmtp')"
Gemini Gate and Garage Door Automation Systems,https://geminigates.co.za/,+27 12 742 3950,"406 Asetileen Rd, Silvertondale, Pretoria, 0184, South Africa",sales@geminigates.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93bedb7cf8bsm129870085a.46 - gsmtp')"
IAC - Industrial Automation and Control,https://www.iacontrol.co.za/,+27 12 657 3600,"53 Landmarks Ave, Samrand Business Park, Centurion, 0157, South Africa",info@iacontrol.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials d75a77b69052e-532ae618698sm14516221cf.16 - gsmtp')"
iST (Integrators of Systems Technology) (Pty) Ltd.,http://www.ist.co.za/,+27 12 426 7200,"22 Hibiscus St, Lynnwood Ridge, Pretoria, 0184, South Africa",info@ist.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260a85b6dsm14538286d6.28 - gsmtp')"
AIC Systems,http://www.aic-systems.co.za/,+27 72 255 6898,"153 Europa St, Bashewa, 0056, South Africa",leon@aicsystems.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93beda708d5sm132237685a.9 - gsmtp')"
INSTEK CONTROL cc,http://instek.co.za/,+27 12 998 6326,"1194 George Eybers St, Constantia Park, Pretoria, 0010, South Africa",info@instek.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260a68fd9sm14610836d6.27 - gsmtp')"
CKR Consulting Engineers - Johannesburg,http://www.ckr.co.za/,+27 11 217 7300,"2nd floor, Office 203, Nr. 11 9th Str, 104 Oxford Building Houghton Estate, Rosebank, Johannesburg, 2198, South Africa",,
K K A CONSULTING ELECTRICAL ENGINEERS,https://www.engnet.co.za/c/f.aspx/KKA001,+27 11 887 1644,"214 Corlett Dr, Bramley, Johannesburg, 2018, South Africa",,
Enzani Technologies,http://www.enzani.co.za/,+27 11 835 1880,"Ext 35, 15 Gold Reef Rd, Ormonde, Johannesburg South, 2091, South Africa",info@enzani.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93bedb6759bsm131947385a.43 - gsmtp')"
Musi Electical Engineering,,+27 11 056 4665,"44 Mount Ida Rd, Robertsham, Johannesburg, 2091, South Africa",,
Semane Engineering Solutions (Pty) Ltd,http://www.semane.com/,+27 11 891 1600,"22 Wellington Rd, Parktown, Johannesburg, 2193, South Africa","accounts@semane.com,corporate@semane.com,reception@semane.com,sales@semane.com","error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260a30d13sm15234486d6.11 - gsmtp')"
EHL Engineering Group,http://www.ehl.co.za/,+27 11 370 7400,"The Woodlands, 20 Woodlands Dr, Woodlands, Sandton, 2080, South Africa",,
Staybright Trading Electrical,,+27 64 550 3832,"Edward rd &, Millar St, Johannesburg, 2092, South Africa",,
Korii Engineering (Pty) Ltd,,+27 12 880 7231,"ROMANS COURT, 243 Rahima Moosa St, Hillbrow, Johannesburg, 2000, South Africa",,
TM Engineering,https://tmengineering.co.za/,+27 11 791 1562,"10 Susan St, Strydompark, Randburg, 2169, South Africa",sales@tmeng.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260968826sm14947396d6.4 - gsmtp')"
Devcotech Electrical Engineering,,+27 86 101 1005,"Unit 6 River's Edge Business Park, Winelands Cl, Stikland, Cape Town, 7530, South Africa",,
Zutari Cape Town,https://www.zutari.com/location/cape-town/,+27 21 526 9400,"1 Century City Dr, Century City, Cape Town, 7446, South Africa",capetown@zutari.com,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260a69848sm14496766d6.24 - gsmtp')"
Kaltron Electrical Engineering,http://www.kaltron.co.za/,+27 21 945 2111,"7 Cilmor St, Stikland Industrial, Cape Town, 7530, South Africa",info@kaltron.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93bedac2955sm131489885a.24 - gsmtp')"
HESPER ENGINEERING,https://www.hesper.co.za/,+27 21 506 4301,"12 Verbena St, Paarden Eiland, Cape Town, 7405, South Africa",,
LCK Electrical Engineering (Pty) Ltd,http://www.lckelectrical.co.za/,+27 21 593 0565,"27 7th Ave, Maitland, Cape Town, 7405, South Africa",info@lckelectrical.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260bb5fb0sm14462576d6.48 - gsmtp')"
Chinlink Electrical Engineering & Solar Systems,https://www.chinlink.co.za/,+27 73 296 2143,,,
Element Consulting Engineers (Pty) Ltd,http://www.eceng.co.za/?controller=pages&view=load&id=home,+27 21 975 1718,"Block C, 54 Oxford Street Oxford Gate, Durbanville, Cape Town, 7550, South Africa",,
Unity Electrical Engineering,https://www.unity-eng.co.za/,+27 81 272 3142,"Cnr Kruis road, Unit 17, The Reserve 3, Cnr Kruis road, Capricorn Way, Brackenfell, Cape Town, 7560, South Africa",admin@unity-eng.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260a30c93sm14552126d6.10 - gsmtp')"
Iberica Electrical,http://www.ibericaelectrical.co.za/,+27 21 555 0480,"Unit 3, Iberica Park, 11 Platinum Cres, Milnerton, Cape Town, 7441, South Africa","cristina@iberica.co.za,heather@iberica.co.za,info@iberica.co.za,tony@iberica.co.za","error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93beda702f9sm131319685a.15 - gsmtp')"
CMD Dynamic Engineers,http://www.cmdeng.co.za/,+27 21 945 2791,"28 Point St, Glenlily, Cape Town, 7500, South Africa",admin@cmdeng.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260a86f62sm14581156d6.33 - gsmtp')"
Katulushi Engineering and Electrician COC Certificate of Compliance Pretoria East,http://katulushi.unico.co.za/,+27 78 388 9884,"134 Bronkhorst St, Nieuw Muckleneuk, Pretoria, 0181, South Africa",katulushi@gmail.com,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93bedac2955sm131493185a.24 - gsmtp')"
Cabac Engineering & Electrical (Pty) Ltd,https://m.facebook.com/pages/category/Electric-Utility-Provider/Cabac-Engineering-Electrical-Pty-Ltd-2020-111231070575988/,+27 12 803 2219,"N4 Gateway Industrial Park, Unit 3, 26 Robberg Cl, Willow Park Manor, Pretoria, 0184, South Africa",,
DJJC Consulting Engineers,http://djjc.co.za/,+27 12 349 1105,"306 Freesia St, Lynnwood Ridge, Pretoria, 0102, South Africa","cbell@djjc.co.za,jj@djjc.co.za,mail@djjc.co.za,marco@djjc.co.za","error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93bedb4f527sm126684985a.38 - gsmtp')"
Thitan Electrical And Engineering,,+27 82 220 2289,"45 Green Valley, Moreleta Park, Pretoria, 0181, South Africa",,
AK ELECTRICAL CONSULTANTS.,http://ak-electrical.co.za/,+27 83 490 8526,"357 Visagie St, Pretoria Central, Pretoria, 0002, South Africa",angobeni@ak-electrical.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260a3204csm15419186d6.16 - gsmtp')"
AC Electrical Engineering,http://www.acengineering.co.za/,+27 82 218 4570,"712 14th Ave, Wonderboom South, Pretoria, 0084, South Africa",jandre@acengineering.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93bedb625bdsm129804985a.42 - gsmtp')"
JRKM ELECTRICAL ENGINEERING,http://jrkmelectricalengineering.co.za/,+27 74 453 9241,"17Malherbe St, Capital Park, Pretoria, 0002, South Africa",,
SMEC South Africa | Pretoria,http://www.smec.com/,+27 12 481 3800,"SMEC Centre, 230 Albertus St, La Montagne, Pretoria, 0184, South Africa",,
CKR Consulting Engineers - Pretoria,http://www.ckr.co.za/,+27 12 460 9552,"272 Bronkhorst street South Block, Brookfield Office Park, Nieuw Muckleneuk, Pretoria, 0075, South Africa",,
VoltAmpere Electrical and Mechanical Engineering.,https://www.voltampere.co.za/,+27 12 328 6551,"279 Sophie de Bruyn St, Pretoria Central, Pretoria, 0002, South Africa",,
